ID,BookID,CategoryID
0,0,49
1,0,189
2,0,258
3,0,379
4,1,102
5,1,379
6,2,56
7,2,192
8,2,296
9,6,201
10,6,211
11,6,334
12,7,255
13,7,379
14,8,154
15,8,379
16,9,296
17,9,379
18,10,3
19,10,190
20,10,248
21,10,250
22,11,13
23,11,27
24,11,60
25,11,96
26,11,173
27,11,311
28,12,199
29,12,363
30,13,199
31,13,315
32,13,379
33,14,154
34,14,261
35,17,227
36,17,379
37,19,96
38,19,161
39,19,197
40,19,379
41,19,408
42,20,102
43,20,345
44,20,379
45,21,58
46,21,379
47,21,394
48,22,102
49,22,379
50,24,154
51,24,379
52,26,96
53,26,161
54,26,197
55,26,379
56,26,408
57,27,102
58,27,379
59,28,99
60,28,379
61,29,99
62,29,114
63,29,414
64,30,15
65,30,100
66,30,112
67,30,126
68,30,406
69,31,49
70,31,94
71,31,173
72,31,189
73,31,258
74,31,281
75,31,311
76,31,367
77,33,96
78,33,105
79,33,107
80,33,161
81,33,197
82,33,408
83,34,64
84,34,102
85,35,96
86,35,161
87,35,197
88,35,379
89,35,408
90,36,199
91,36,379
92,37,49
93,37,143
94,37,258
95,37,274
96,38,44
97,38,102
98,39,89
99,39,199
100,41,66
101,41,99
102,41,199
103,42,296
104,42,326
105,42,392
106,43,39
107,43,213
108,43,225
109,44,154
110,44,243
111,44,367
112,46,154
113,46,243
114,46,367
115,47,113
116,47,222
117,47,296
118,47,333
119,47,368
120,48,67
121,48,300
122,49,43
123,49,427
124,50,3
125,50,190
126,50,248
127,50,250
128,50,399
129,51,154
130,51,379
131,53,67
132,53,373
133,55,47
134,55,67
135,56,67
136,56,319
137,56,379
138,57,99
139,57,379
140,59,99
141,59,379
142,59,414
143,60,154
144,60,173
145,60,311
146,61,99
147,61,379
148,64,296
149,64,326
150,64,392
151,66,15
152,66,56
153,66,100
154,66,126
155,66,192
156,67,334
157,67,379
158,69,67
159,69,210
160,69,379
161,70,102
162,70,379
163,71,15
164,71,42
165,71,100
166,71,126
167,71,420
168,72,102
169,72,172
170,72,379
171,73,154
172,73,230
173,73,256
174,74,96
175,74,105
176,74,161
177,74,197
178,74,322
179,74,379
180,74,398
181,74,408
182,75,64
183,75,102
184,76,14
185,76,259
186,76,329
187,76,359
188,76,379
189,76,418
190,80,53
191,80,111
192,80,346
193,81,67
194,81,379
195,82,15
196,82,100
197,82,126
198,82,419
199,84,45
200,84,96
201,85,200
202,85,317
203,85,346
204,85,350
205,85,379
206,86,154
207,86,365
208,89,26
209,89,91
210,89,93
211,89,102
212,89,258
213,90,3
214,90,190
215,90,248
216,90,250
217,91,26
218,91,102
219,91,379
220,92,55
221,92,99
222,92,348
223,93,96
224,93,379
225,94,127
226,94,153
227,94,158
228,94,179
229,94,285
230,97,70
231,97,190
232,98,15
233,98,42
234,98,100
235,98,126
236,98,379
237,99,102
238,99,295
239,99,379
240,100,36
241,100,56
242,100,192
243,102,67
244,102,379
245,103,75
246,103,92
247,103,96
248,103,130
249,103,134
250,103,240
251,103,398
252,104,255
253,104,379
254,104,398
255,105,141
256,105,297
257,105,379
258,107,35
259,107,81
260,107,138
261,107,199
262,107,238
263,108,92
264,108,96
265,108,226
266,110,52
267,110,102
268,110,184
269,110,214
270,110,295
271,111,154
272,111,365
273,112,296
274,112,326
275,112,392
276,113,96
277,113,246
278,113,276
279,115,98
280,115,143
281,115,274
282,115,277
283,115,403
284,116,67
285,116,146
286,116,319
287,116,379
288,117,96
289,117,157
290,117,246
291,119,99
292,119,379
293,120,284
294,120,303
295,120,379
296,120,413
297,123,102
298,123,379
299,125,25
300,125,99
301,125,129
302,125,332
303,126,68
304,126,102
305,127,30
306,127,199
307,128,199
308,128,312
309,130,200
310,130,379
311,131,102
312,131,172
313,131,379
314,132,99
315,132,104
316,132,414
317,133,102
318,133,379
319,134,96
320,134,183
321,135,102
322,135,142
323,135,200
324,135,345
325,135,379
326,137,49
327,137,189
328,137,200
329,137,258
330,137,379
331,138,49
332,138,189
333,138,258
334,138,329
335,138,359
336,138,379
337,138,418
338,140,110
339,140,154
340,140,185
341,141,56
342,141,192
343,141,293
344,142,3
345,142,190
346,142,248
347,142,250
348,143,67
349,143,360
350,144,102
351,144,216
352,144,379
353,145,67
354,145,379
355,146,67
356,146,300
357,147,120
358,147,297
359,147,346
360,147,379
361,148,143
362,148,274
363,148,375
364,149,44
365,149,102
366,151,190
367,151,402
368,154,102
369,154,379
370,155,170
371,155,213
372,155,296
373,155,379
374,155,398
375,157,67
376,157,300
377,158,15
378,158,81
379,158,95
380,158,100
381,158,199
382,158,238
383,159,379
384,159,427
385,160,200
386,160,254
387,160,338
388,160,381
389,161,92
390,161,96
391,161,236
392,163,67
393,163,379
394,165,255
395,165,379
396,165,398
397,166,99
398,166,379
399,169,26
400,169,102
401,169,379
402,170,36
403,170,53
404,170,121
405,170,346
406,171,34
407,171,334
408,174,68
409,174,102
410,175,296
411,175,379
412,176,91
413,176,93
414,176,102
415,176,258
416,176,379
417,176,406
418,177,67
419,177,379
420,179,296
421,179,379
422,180,67
423,180,262
424,180,379
425,183,190
426,183,278
427,184,139
428,184,379
429,187,44
430,187,102
431,188,102
432,188,379
433,189,199
434,189,244
435,190,199
436,190,391
437,191,255
438,191,379
439,192,96
440,192,161
441,192,197
442,192,379
443,192,408
444,195,379
445,195,427
446,196,227
447,196,269
448,196,363
449,197,74
450,197,154
451,197,427
452,198,49
453,198,162
454,198,171
455,198,189
456,198,258
